id,name,age,grade,gender
0761,Rachel Perez,16,11,Female
0762,Ana Winters,17,12,Female
0763,Caroline Ramirez,16,10,Female
0764,Jason Butler,18,12,Male
0765,Andrew Lloyd,14,9,Male
0766,Terry Mercer,14,9,Male
0767,Sara Johnson,17,11,Female
0768,Jordan Osborne,16,11,Male
0769,Ernest Price,16,10,Male
0770,Eric Reeves,15,10,Male
0771,Robert Snyder,14,9,Male
0772,Allison Russell,17,12,Female
0773,Todd Smith,17,12,Male
0774,Stephanie Baker,16,10,Female
0775,Erica Hart,14,9,Female
0776,James Blake,18,12,Male
0777,Steven Davis,16,11,Male
0778,Kristie Martin,16,11,Female
0779,Micheal Becker,15,9,Male
0780,Thomas Santiago,17,12,Male
0781,Dr. Russell Perry,17,11,Male
0782,Cathy Hill,15,10,Female
0783,William Melendez,15,9,Male
0784,Laura Golden,15,10,Female
0785,Alexandria Lawrence,16,11,Female
0786,Sarah Wallace,15,9,Female
0787,Sheila Pierce,18,12,Female
0788,Emily Weaver,15,9,Female
0789,Christine Ortiz,16,10,Female
0790,Carol Baldwin,15,9,Female
0791,Jacob Kennedy,18,12,Male
0792,Joseph Williams,17,11,Male
0793,Jill Martinez,17,12,Female
0794,Lindsey Williams,17,12,Female
0795,Mary Gray,15,10,Female
0796,Robert Ortiz,16,11,Male
0797,Daniel Carroll,14,9,Male
0798,Jacob Brewer,16,11,Male
0799,Joseph Smith,16,11,Male
0800,Stacey Lee,18,12,Female
0801,Michael Phillips,17,12,Male
0802,Shawn Garcia,17,12,Male
0803,Laura Powell,15,9,Female
0804,Jamie Herrera,16,10,Female
0805,Amanda Diaz,17,12,Female
0806,Carl Davis,15,10,Male
0807,Justin Walker,16,11,Male
0808,William Lawson,18,12,Male
0809,Dr. Michele Marsh MD,17,11,Female
0810,John Mcbride,18,12,Male
0811,Sean Flores,14,9,Male
0812,Steven James,17,12,Male
0813,Mary Powers,15,9,Female
0814,Douglas Smith Jr.,17,12,Male
0815,Jesus Leonard,16,11,Male
0816,Louis Briggs,15,10,Male
0817,Sean Hansen,16,10,Male
0818,Jose Santiago,14,9,Male
0819,Jason Castillo,18,12,Male
0820,Garrett Brooks,16,10,Male
0821,Jacob Jordan,17,11,Male
0822,Bethany Patterson,15,9,Female
0823,Brian Davis,16,10,Male
0824,Laurie Johnson,17,11,Female
0825,Rebecca Martinez,16,11,Female
0826,Melissa Ramirez,16,11,Female
0827,Sean Flores,17,11,Male
0828,Angela Oneal,15,9,Female
0829,Michael Smith,15,9,Male
0830,Mrs. Sarah Parker,14,9,Female
0831,David Hernandez,15,9,Male
0832,James Rogers,14,9,Male
0833,Donna Richards,16,11,Female
0834,Jasmine Matthews,14,9,Female
0835,Michelle Allen,14,9,Female
0836,Amber Jackson,16,11,Female
0837,Brett Kim,18,12,Male
0838,Daniel Garcia,18,12,Male
0839,Michelle Burns,16,11,Female
0840,Jennifer Norman,14,9,Female
0841,Anthony Scott,16,10,Male
0842,Tracey Wood,18,12,Female
0843,Kevin Gregory,16,10,Male
0844,Crystal Wood,17,12,Female
0845,Melvin Gonzales,16,11,Male
0846,Gregory Bray,17,12,Male
0847,Scott Alvarado,15,9,Male
0848,Brittney Cervantes,15,9,Female
0849,Tracy Bailey,18,12,Male
0850,James Williams,18,12,Male
0851,Frederick Miller,15,10,Male
0852,Rebecca Clark,17,12,Female
0853,Adrian Martin,16,11,Male
0854,Courtney Stone,18,12,Female
0855,Philip Hubbard,14,9,Male
0856,Sarah Jimenez PhD,15,10,Female
0857,Karen Mckenzie,15,9,Female
0858,Brandon Stanley,17,11,Male
0859,Jacob Miles,17,11,Male
0860,Michele Brooks,16,10,Female
0861,Harold Martinez,15,10,Male
0862,Jacob Romero,17,12,Male
0863,Angelica James,18,12,Female
0864,Jasmin Molina,16,11,Female
0865,Kevin Silva,14,9,Male
0866,Thomas Rivers,16,10,Male
0867,Corey Wallace,18,12,Male
0868,Kimberly Vega,16,11,Female
0869,Matthew Brown,17,11,Male
0870,Michael Jacobs,17,11,Male
0871,Richard Guerrero,16,11,Male
0872,Daniel Garrett,16,11,Male
0873,Martin Caldwell,16,10,Male
0874,Javier Harris,15,10,Male
0875,Sarah Brown,14,9,Female
0876,Richard Nelson,18,12,Male
0877,Emily Ramos,17,11,Female
0878,Brooke Dunn MD,15,9,Female
0879,Stephen Lewis DDS,17,11,Male
0880,Benjamin Lamb,17,12,Male
0881,Autumn Villanueva,18,12,Female
0882,Daniel Cox,18,12,Male
0883,Susan James,16,11,Female
0884,Andrea Mejia,18,12,Female
0885,Rebecca Cox MD,16,10,Female
0886,Richard Townsend,17,11,Male
0887,Christine Lawrence,16,10,Female
0888,Stephanie Gross,18,12,Female
0889,Latasha Parker,18,12,Female
0890,Mark Robertson,15,9,Male
0891,Lori Martin,15,9,Female
0892,Kimberly Bell,15,9,Female
0893,Brian Clarke,17,11,Male
0894,Robert Banks,17,11,Male
0895,Gary Caldwell,15,10,Male
0896,Nathan Jones,17,12,Male
0897,James Eaton,15,10,Male
0898,Beverly Winters,15,9,Female
0899,Jack Hunt,15,9,Male
0900,Diamond Garcia,15,10,Female
0901,Laura Reid,16,11,Female
0902,Lisa Brown,16,11,Female
0903,Carrie Hernandez,15,10,Female
0904,Michelle Clark,17,12,Female
0905,Emily Peterson,16,11,Female
0906,Virginia Smith,15,10,Female
0907,Dominique Mckinney,15,10,Female
0908,Shawn Doyle,15,9,Male
0909,Kaitlyn Hudson,18,12,Female
0910,Jeffrey Kelly,18,12,Male
0911,Heather Roberson,15,9,Female
0912,Austin Reed,17,12,Male
0913,Thomas Walker,18,12,Male
0914,Abigail Sparks,18,12,Female
0915,David Rojas,14,9,Male
0916,Johnny Wood,16,11,Male
0917,Nicholas King,16,10,Male
0918,Alvin Rhodes,18,12,Male
0919,Hannah Booker,15,9,Female
0920,Gregory Morse,15,9,Male
0921,Shelley Ford,14,9,Female
0922,Dana Wolfe,17,11,Female
0923,Stephanie Turner,16,10,Female
0924,Mary Miller,15,9,Female
0925,Benjamin Herring,15,10,Male
0926,George Fowler,14,9,Male
0927,Samuel Barnes,16,11,Male
0928,Gregory Taylor,16,11,Male
0929,Roger Golden,15,10,Male
0930,Ashley Miller,17,11,Female
0931,Edward Barry,16,10,Male
0932,Kathryn Gonzalez,17,12,Female
0933,Mark Brown,16,10,Male
0934,Angela Brown,16,11,Female
0935,Linda Santos,14,9,Female
0936,David Palmer,15,9,Male
0937,Craig Brown,15,10,Male
0938,Kayla Elliott,15,9,Female
0939,Brenda Hamilton,15,9,Female
0940,Roger Mendoza,14,9,Male
0941,Ronald Townsend,15,9,Male
0942,Samantha Sherman,16,11,Female
0943,Mrs. Angela Stafford MD,16,11,Female
0944,Travis Lee,15,10,Male
0945,Jason Chan,15,9,Male
0946,Jessica Black,15,10,Female
0947,April Russell,17,12,Female
0948,Kristen Rollins,15,9,Female
0949,Robert Levy,17,11,Male
0950,Misty Lee,15,9,Female
0951,Gary Mills,17,12,Male
0952,Kristin Stanley,15,9,Female
0953,Bailey Brown,15,10,Female
0954,Jane Johns,16,10,Female
0955,Felicia Mitchell,17,12,Female
0956,Brenda Bray,17,11,Female
0957,Elizabeth Taylor,17,11,Female
0958,Angela Butler,18,12,Female
0959,John Washington,15,10,Male
0960,Victoria Vazquez,14,9,Female
0961,Linda Carr,14,9,Female
0962,Henry Jackson,15,9,Male
0963,Jonathan Smith,18,12,Male
0964,Debra Moran,14,9,Female
0965,Jocelyn Frederick,16,10,Female
0966,Herbert Ruiz,16,10,Male
0967,Victoria Williams,16,11,Female
0968,Jeffrey Dunn,17,12,Male
0969,James Hebert,15,10,Male
0970,Stephen Murphy,16,11,Male
0971,David Evans,15,10,Male
0972,Joshua Rich,16,11,Male
0973,Eric Wilson,17,12,Male
0974,Michael White,18,12,Male
0975,John Payne,16,10,Male
0976,Tamara Donovan,16,11,Female
0977,Kevin Mcmillan,17,11,Male
0978,Sharon Smith,16,11,Female
0979,Angela Kim,15,9,Female
0980,Andrew Ward,16,10,Male
0981,Cory Perez,15,10,Male
0982,Kristen Baker,17,12,Female
0983,Katelyn Wells,16,10,Female
0984,Amanda Anderson,18,12,Female
0985,Scott Collins,14,9,Male
0986,Thomas Evans,14,9,Male
0987,Carrie Peters,14,9,Female
0988,Linda Tran,18,12,Female
0989,Kenneth Thomas,15,9,Male
0990,William Jimenez,16,11,Male
0991,Michael Montes,17,12,Male
0992,Ashley Moore,18,12,Female
0993,Diane Schultz,16,11,Female
0994,Christine Jones,17,11,Female
0995,Megan Wagner,17,11,Female
0996,Debbie Stephenson,16,10,Female
0997,Craig Bean,15,10,Male
0998,Kimberly Jones,17,12,Female
0999,Becky Jones,15,10,Female
1000,Lisa Rose,17,12,Female
1001,Phillip Woods,17,11,Male
1002,Linda Bates,16,11,Female
1003,Rachel Ross,15,10,Female
1004,Anthony Wilson,16,10,Male
1005,Elizabeth Raymond,16,10,Female
1006,Jacqueline Munoz,15,10,Female
1007,Matthew Gonzalez,17,12,Male
1008,Derek Taylor,15,10,Male
1009,Hannah Willis,17,11,Female
1010,Kayla Morrison,16,10,Female
1011,Dakota Jones,18,12,Male
1012,John Garza,15,10,Male
1013,Jean Morris,16,10,Female
1014,Michael Martin,14,9,Male
1015,Laura Mckee,18,12,Female
1016,Amanda Gomez,14,9,Female
1017,Todd Allen,17,12,Male
1018,Cody Hansen,18,12,Male
1019,Robert Christensen,15,10,Male
1020,Nancy Fowler,15,10,Female
1021,Emily Ray,14,9,Female
1022,Pamela Carr,15,10,Female
1023,Daniel Rivers,17,11,Male
1024,David Martinez,15,9,Male
1025,Catherine Nash,14,9,Female
1026,James Carlson,18,12,Male
1027,Tyler Lloyd,15,9,Male
1028,Ronnie Lee,17,11,Male
1029,Tyler Jones,15,10,Male
1030,Randy Ward,16,10,Male
1031,Heather Brown,18,12,Female
1032,Kristen Dixon,15,10,Female
1033,John Lee,17,12,Male
1034,Lisa Lynn,15,9,Female
1035,Mrs. Sandra Gonzalez DDS,18,12,Female
1036,Warren Hartman,18,12,Male
1037,Barbara Clark,16,11,Female
1038,Amanda Jones,18,12,Female
1039,Kayla Harrison,16,10,Female
1040,Linda Pittman,16,10,Female
1041,Joshua Carter,16,10,Male
1042,Jon Garrett,16,11,Male
1043,Laura Mitchell,17,11,Female
1044,Kimberly Novak,17,11,Female
1045,Gail Nguyen,16,10,Female
1046,Christopher Gomez,16,11,Male
1047,Micheal Wright,18,12,Male
1048,Craig Gomez,16,11,Male
1049,David Johnson,16,11,Male
1050,Jamie Payne,16,11,Female
1051,Dana Thomas,15,9,Female
1052,Jake Larsen,17,11,Male
1053,Erin Brown,17,12,Female
1054,Cynthia Robbins,18,12,Female
1055,Brittney Thomas,15,9,Female
1056,Phillip Greene,14,9,Male
1057,Elizabeth Scott,16,10,Female
1058,Michael Atkins,16,11,Male
1059,Kaylee Bell,18,12,Female
1060,Anne Stephens,17,11,Female
1061,Mr. Angel Mendoza DDS,18,12,Male
1062,Karen Allen,17,12,Female
1063,Alexander Wagner,15,9,Male
1064,Caitlin Hayes,17,12,Female
1065,Damon Morgan,16,10,Male
1066,Mikayla Ryan,14,9,Female
1067,Sherry Kelly,15,10,Female
1068,Mark Peck,15,9,Male
1069,Lisa Newman,14,9,Female
1070,Danielle Oconnell,16,11,Female
1071,Wendy Martinez,15,10,Female
1072,Craig Hancock,16,11,Male
1073,Michael Mayer,15,9,Male
1074,Deborah Franklin,18,12,Female
1075,Melissa Wright,16,11,Female
1076,Kimberly Lee,15,9,Female
1077,Craig Smith,15,10,Male
1078,Emily Smith,17,12,Female
1079,Timothy Casey,16,10,Male
1080,Renee Riley DDS,16,10,Female
1081,Ryan Walker,14,9,Male
1082,Ann Perkins,14,9,Female
1083,Jeanette Johnson,17,12,Female
1084,Joshua Fisher,15,9,Male
1085,Diane Reese,15,10,Female
1086,Mitchell Decker,14,9,Male
1087,Mary Soto,15,9,Female
1088,Thomas Todd,16,10,Male
1089,Lori Howard MD,15,10,Female
1090,Edward Archer,15,10,Male
1091,Adam Hayes,15,9,Male
1092,Gabriel Reed,15,9,Male
1093,Jamie Aguilar,16,10,Female
1094,Amy Rodriguez,18,12,Female
1095,Stephanie Thompson,16,10,Female
1096,Jean Morgan,16,11,Female
1097,Timothy Hernandez,16,11,Male
1098,Jay Valdez,15,10,Male
1099,Justin Glass,15,9,Male
1100,Robert Love,16,11,Male
1101,Derek Fisher,15,9,Male
1102,Brian Graham,15,10,Male
1103,Katherine Parsons,17,12,Female
1104,James Hayes,17,12,Male
1105,Danielle Rowe,17,11,Female
1106,Stephanie Flores,16,10,Female
1107,Alexis Hawkins,17,11,Female
1108,Raymond Morales,18,12,Male
1109,Brandi Jones,18,12,Female
1110,Katherine Garcia,16,10,Female
1111,John Carter,16,11,Male
1112,Steven Zuniga,16,10,Male
1113,Lori Garrison,17,11,Female
1114,Joe White,16,11,Male
1115,Tina Nelson,15,10,Female
1116,Kenneth Perry,17,11,Male
1117,Ashley Evans,16,11,Female
1118,Kim Cole,15,9,Female
1119,Catherine King,14,9,Female
1120,Amanda Richardson,15,10,Female
1121,Jennifer Trujillo,14,9,Female
1122,Tamara Stephens,16,11,Female
1123,Jessica Romero,17,11,Female
1124,Jeffrey Cross,16,10,Male
1125,Thomas Thompson,18,12,Male
1126,Richard Hurst,14,9,Male
1127,Taylor Edwards,15,9,Female
1128,Cathy Carroll,17,12,Female
1129,Mrs. Kristen Sanders,16,10,Female
1130,Wendy Valdez,16,11,Female
1131,Craig White,15,9,Male
1132,David Conner,16,11,Male
1133,Julia Eaton,16,10,Female
1134,Troy Hill,17,11,Male
1135,Brian Williams,16,11,Male
1136,Katherine Carr,17,12,Female
1137,Sarah Callahan,17,11,Female
1138,Mary West,16,10,Female
1139,Ian Galvan,18,12,Male
1140,Jennifer Thomas,16,10,Female
1141,Kathleen Boone,17,12,Female
1142,Adam Hopkins,16,10,Male
1143,Erik Ramos,17,12,Male
1144,Taylor Francis,16,10,Female
1145,Brandon Thomas,16,10,Male
1146,Lisa Gilbert,15,10,Female
1147,Christian Watson,15,10,Male
1148,Tonya Caldwell,17,11,Female
1149,Bryan Thomas,18,12,Male
1150,Julie Hall,18,12,Female
1151,Brenda Tapia,16,10,Female
1152,Ethan Johnson,17,12,Male
1153,David Taylor,17,12,Male
1154,Randall Mcintyre,17,11,Male
1155,Sarah Carrillo,17,12,Female
1156,Kevin Martinez,17,11,Male
1157,Michael Fisher,15,10,Male
1158,Christine Medina,17,12,Female
1159,Tommy Evans,18,12,Male
1160,Timothy Morgan,14,9,Male
1161,Aaron Zimmerman,16,10,Male
1162,Tabitha Carr,17,12,Female
1163,Megan Rowland,16,10,Female
1164,Rodney Meyers,16,10,Male
1165,Jonathan May,17,11,Male
1166,Ricardo Harrington,16,10,Male
1167,Lee Mclaughlin,16,11,Male
1168,Mary Wise,16,11,Female
1169,Sara Odom,14,9,Female
1170,Hailey Ford,15,10,Female
1171,Sherry Jones,16,10,Female
1172,Terry Thomas,18,12,Male
1173,James Riddle,16,10,Male
1174,Ryan Thomas,17,11,Male
1175,Robert Collins,17,12,Male
1176,Paula Gutierrez,17,12,Female
1177,Nancy Cook,15,10,Female
1178,Michael Clark,15,9,Male
1179,Timothy Guerrero,15,10,Male
1180,Amber Coleman,16,11,Female
1181,Daryl Thomas,15,10,Male
1182,Eric Castro,17,11,Male
1183,Benjamin Allen,18,12,Male
1184,Shawn Garrett,17,11,Male
1185,Amy Hawkins,17,12,Female
1186,April Palmer,16,11,Female
1187,Tiffany Douglas,17,12,Female
1188,Alicia Heath,16,10,Female
1189,Ashley May,16,11,Female
1190,Samantha Thompson,16,10,Female
1191,Amanda Vazquez,16,11,Female
1192,James Kennedy,18,12,Male
1193,Cynthia Williams,15,9,Female
1194,Jessica Wilson,16,11,Female
1195,Carrie Matthews,15,9,Female
1196,Lisa Andrews,17,12,Female
1197,Christine Faulkner,17,12,Female
1198,Bryan Hernandez,16,10,Male
1199,Melissa Patterson,15,9,Female
1200,Kristin Sims,15,9,Female
1201,Shannon Thompson,14,9,Female
1202,Christina Martin,17,12,Female
1203,Sharon Gonzalez,14,9,Female
1204,Emily Stewart,14,9,Female
1205,Justin Avila,15,10,Male
1206,Debbie Welch,15,10,Female
1207,Antonio Ramos,15,9,Male
1208,Crystal Schmitt,16,10,Female
1209,Sherry Newman,16,10,Female
1210,Collin Reeves,14,9,Male
1211,David Horne,15,10,Male
1212,Tiffany Carroll,16,10,Female
1213,Christian Clarke,17,12,Male
1214,Rachel Potter,16,11,Female
1215,John Lewis,15,10,Male
1216,Brian Schmidt,17,11,Male
1217,William Roberts,14,9,Male
1218,Erik Hunter,17,12,Male
1219,Alexandra Chen,17,11,Female
1220,Logan Drake,15,10,Male
1221,James Richmond,17,11,Male
1222,Timothy Duncan,17,12,Male
1223,Maxwell Pugh,17,12,Male
1224,Kristen Schwartz,17,11,Female
1225,Emily Brown,16,11,Female
1226,Elizabeth Johnson,17,11,Female
1227,Samantha Orr,16,10,Female
1228,Brandon Murphy,16,10,Male
1229,James Knight,16,11,Male
1230,Heidi Oconnell,16,10,Female
1231,Elizabeth Webb PhD,17,12,Female
1232,Regina Wilson,18,12,Female
1233,Kimberly Cooley,14,9,Female
1234,Daniel Taylor,15,10,Male
1235,Alexandria Long,15,10,Female
1236,Kayla Manning,17,11,Female
1237,Dawn Wright,18,12,Female
1238,Terry Contreras,17,11,Female
1239,Robert Weaver,14,9,Male
1240,Nicole Barnes,15,9,Female
1241,Mark Phillips,17,12,Male
1242,Mr. Dennis Graves MD,16,10,Male
1243,Carol Smith,15,9,Female
1244,Heather Lucas,15,9,Female
1245,Robert Rodriguez,15,10,Male
1246,Christian Cannon,18,12,Male
1247,Kenneth Ramirez,18,12,Male
1248,Jennifer White,17,12,Female
1249,Kimberly Cobb,14,9,Female
1250,Douglas Cardenas,16,11,Male
1251,Bryan Smith PhD,15,9,Male
1252,Colin Brown,14,9,Male
1253,Crystal Singh,15,10,Female
1254,Debra James,16,10,Female
1255,Andrew Baker,16,11,Male
1256,Ryan Summers,14,9,Male
1257,William Marshall,17,12,Male
1258,Victoria Coleman,15,9,Female
1259,Ernest Klein,15,10,Male
1260,Ashley Hill,16,10,Female
1261,Jaime Myers,16,10,Female
1262,Theresa Lawrence,16,11,Female
1263,Donald Collins,14,9,Male
1264,Clayton Calhoun,18,12,Male
1265,Albert Pugh,17,12,Male
1266,Elizabeth Smith,15,9,Female
1267,Richard Davis,18,12,Male
1268,Kathy Watson,17,12,Female
1269,Kenneth Bowman,14,9,Male
1270,Thomas Mccormick MD,18,12,Male
1271,Michael Lynch,16,11,Male
1272,Rachel Savage DVM,18,12,Female
1273,Joseph Moore,16,10,Male
1274,Joseph Cox,15,9,Male
1275,Anne Adams,15,9,Female
1276,Sara Valdez,18,12,Female
1277,Susan Perry,16,11,Female
1278,Eugene Hernandez,16,11,Male
1279,Jeffery King,14,9,Male
1280,Juan Graves,18,12,Male
1281,Noah Smith,17,11,Male
1282,Paul Robinson,14,9,Male
1283,Elizabeth Anderson,17,11,Female
1284,Ryan King,16,10,Male
1285,Thomas Watkins,16,11,Male
1286,Isaiah Henson,16,10,Male
1287,Michele Weaver,18,12,Female
1288,Craig Oliver,14,9,Male
1289,Frances Edwards MD,14,9,Female
1290,Dean Sawyer,14,9,Male
1291,Krystal Williams,18,12,Female
1292,Natalie Welch,14,9,Female
1293,Trevor Stanton,14,9,Male
1294,Cynthia Powell MD,15,10,Female
1295,Elizabeth Torres,18,12,Female
1296,Annette Parks,15,10,Female
1297,Kimberly Duncan,14,9,Female
1298,Christina Edwards,14,9,Female
1299,Brad Bell,16,10,Male
1300,Paul Norman,18,12,Male
1301,Joseph Reed,17,12,Male
1302,Logan Humphrey,17,12,Male
1303,Jennifer Hill,17,11,Female
1304,Karen Alexander,16,10,Female
1305,Amanda Cruz,14,9,Female
1306,Sheila Cox,15,10,Female
1307,Mr. Jeffrey Rollins DDS,14,9,Male
1308,Stephen Randolph,17,12,Male
1309,Michelle Bailey,16,10,Female
1310,Holly Gibbs,16,10,Female
1311,Susan Myers,15,10,Female
1312,Matthew Hernandez,18,12,Male
1313,Max Oconnor,15,10,Male
1314,Cory Brown,17,11,Male
1315,Adriana Moore,15,10,Female
1316,Mr. Alvin Frazier,16,10,Male
1317,Alexis Martinez,14,9,Male
1318,Jose Faulkner,15,10,Male
1319,Kayla Baxter,14,9,Female
1320,Michelle West,17,11,Female
1321,Cory Erickson,16,10,Male
1322,James Wright,17,11,Male
1323,Andrew Rivera,14,9,Male
1324,Sherry Wagner,15,9,Female
1325,Spencer Mcpherson,14,9,Male
1326,Brian Gonzales,16,10,Male
1327,Ronald Adkins,18,12,Male
1328,Joshua Berry,16,11,Male
1329,Travis Davis,15,10,Male
1330,Kendra Frank,15,10,Female
1331,Jennifer Mitchell,17,11,Female
1332,Mr. Theodore Taylor DDS,15,10,Male
1333,Diane Davis,16,11,Female
1334,Kimberly Johnson,15,9,Female
1335,Cameron Li,16,11,Male
1336,Christopher Benton,16,10,Male
1337,Joseph Garcia,15,9,Male
1338,Ana Meyer,15,10,Female
1339,Ryan Bush,17,12,Male
1340,John Robertson,15,10,Male
1341,Nancy Briggs,15,10,Female
1342,Eric Newman,16,10,Male
1343,Philip Gonzalez,16,11,Male
1344,Thomas Floyd,15,9,Male
1345,Lisa Smith,14,9,Female
1346,Preston Finley,14,9,Male
1347,Shannon Johnson,15,10,Female
1348,Terry Shaw,18,12,Male
1349,Michael Cobb,17,11,Male
1350,Jennifer Peterson,18,12,Female
1351,Monica Hutchinson,14,9,Female
1352,Stephanie Garcia,16,11,Female
1353,Leslie Green,15,10,Female
1354,Melanie Horton,15,10,Female
1355,Richard Brown,15,10,Male
1356,Brandon Castro,15,9,Male
1357,Joshua Woods,17,12,Male
1358,Kyle Fuller,16,11,Male
1359,Christopher Mccoy,15,9,Male
1360,Karen Mcfarland,15,10,Female
1361,Alicia Martin,16,10,Female
1362,John Holmes,18,12,Male
1363,Beth Jacobs,15,10,Female
1364,Jennifer Pace,18,12,Female
1365,Ms. Krista Arnold MD,17,12,Female
1366,Zachary Tanner,14,9,Male
1367,Katie Avery,16,10,Female
1368,Jacob Rose,15,9,Male
1369,Robin Gonzalez,17,11,Female
1370,Linda Parks,15,9,Female
1371,Brittany Kramer,17,12,Female
1372,Christian Brown,15,9,Male
1373,Ian Galvan,17,12,Male
1374,Rachel Boone,16,10,Female
1375,Gina Lewis,18,12,Female
1376,Diane Freeman,14,9,Female
1377,Heather Clark,17,12,Female
1378,Bryan Contreras,17,11,Male
1379,Alejandro Dodson,15,9,Male
1380,Tammy Robinson,16,11,Female
1381,Nicholas Watson MD,14,9,Male
1382,Katherine Arnold,17,11,Female
1383,Robert Roberts,14,9,Male
1384,Kristin Lang,18,12,Female
1385,Shaun Cunningham,16,11,Male
1386,Matthew Wells,18,12,Male
1387,Thomas Vincent,15,10,Male
1388,Nicole Castaneda,16,10,Female
1389,Martin Lee,15,9,Male
1390,Eric Andrews,16,11,Male
1391,Jennifer Cline,16,10,Female
1392,Makayla Anthony,16,10,Female
1393,Darlene Mccarty,14,9,Female
1394,Samantha Christensen,17,11,Female
1395,Joshua Cruz,14,9,Male
1396,Jennifer Chavez,16,11,Female
1397,Yolanda Myers,15,10,Female
1398,Tiffany Leblanc,16,10,Female
1399,Bethany Patel,17,11,Female
1400,Pamela Morales,15,10,Female
1401,Alexander Pennington Jr.,16,10,Male
1402,Mark Wheeler,15,10,Male
1403,Taylor Ford,14,9,Female
1404,Juan Crawford,16,10,Male
1405,Bryan Ford,17,12,Male
1406,Robert Jackson,17,12,Male
1407,Tammy Rogers,16,10,Female
1408,Todd Williamson,14,9,Male
1409,Michelle Lambert,18,12,Female
1410,Jesse Morales,18,12,Male
1411,John Williamson,16,10,Male
1412,Scott Davis,16,10,Male
1413,James Foster,15,10,Male
1414,Tanya Jarvis,15,10,Female
1415,Michael Baldwin,17,12,Male
1416,Kyle Figueroa,18,12,Male
1417,Steve Wilson,15,10,Male
1418,Erik Dominguez,18,12,Male
1419,Jacob Woods,17,11,Male
1420,Katelyn Blake,16,10,Female
1421,Kristen Ingram,15,10,Female
1422,Christina Rivera,18,12,Female
1423,Kimberly Schmidt,14,9,Female
1424,Claudia Walker,18,12,Female
1425,Christopher Nelson,16,11,Male
1426,Vincent Morgan,16,11,Male
1427,Alex Wilson,17,11,Male
1428,Jonathan Mckenzie,15,9,Male
1429,Caroline Johnson,16,10,Female
1430,Paul Mann,16,11,Male
1431,Mark Benitez,16,11,Male
1432,Brian Brock,16,10,Male
1433,Ellen Raymond,18,12,Female
1434,Meghan Ramsey,14,9,Female
1435,Kevin Walker,16,11,Male
1436,Taylor Garza,15,9,Female
1437,Gary Stevens,18,12,Male
1438,Krista Brewer,16,10,Female
1439,Jenna Sharp,14,9,Female
1440,David Henry MD,16,10,Male
1441,Samantha Hammond,15,10,Female
1442,Devin Taylor,17,11,Male
1443,Alexander Porter,16,10,Male
1444,Taylor Webb,14,9,Male
1445,Charlene Cook,14,9,Female
1446,Jessica Pierce,18,12,Female
1447,Misty Ali,16,11,Female
1448,Mrs. Angel Schwartz PhD,15,9,Female
1449,Kyle Moore,16,10,Male
1450,Jeffery Steele,15,10,Male
1451,Sarah Marshall,15,10,Female
1452,Michael Olson,16,11,Male
1453,David Kelley,15,9,Male
1454,Andrew Smith,17,11,Male
1455,Sara Chandler,15,9,Female
1456,Hannah Armstrong,17,11,Female
1457,Anthony Sandoval,16,10,Male
1458,Sally Smith,15,10,Female
1459,Joseph Fisher,16,11,Male
1460,Leah Cole,15,10,Female
1461,Leslie Aguilar,16,11,Male
1462,Jesus Fisher,18,12,Male
1463,Angela Wallace,15,9,Female
1464,Brian Norton,15,9,Male
1465,Richard Simmons,18,12,Male
1466,Sandra Clarke,15,9,Female
1467,Ashlee Cherry,18,12,Female
1468,Amanda Myers,17,11,Female
1469,Anthony Watkins,14,9,Male
1470,Gregory Smith,18,12,Male
1471,Jeffrey Martin,18,12,Male
1472,Noah Sandoval,16,11,Male
1473,Teresa Brown,14,9,Female
1474,James Green,17,11,Male
1475,Pamela Young,15,9,Female
1476,Richard Chase,18,12,Male
1477,James Cole,15,10,Male
1478,Stephanie Mitchell,15,9,Female
1479,Michelle Downs,17,12,Female
1480,Elizabeth Bautista,14,9,Female
1481,Nicole Martinez,17,12,Female
1482,Benjamin Rodriguez,14,9,Male
1483,William Craig,16,11,Male
1484,Casey Mcclure,15,9,Female
1485,William Herman,16,10,Male
1486,Catherine Ramirez,16,11,Female
1487,Ruth White,16,10,Female
1488,Brittany Manning,15,10,Female
1489,Kenneth Morales,16,11,Male
1490,Susan Allen,18,12,Female
1491,Lisa Perez,18,12,Female
1492,Jacob Smith,17,11,Male
1493,Jasmine Morgan,15,9,Female
1494,Martin Anderson,15,9,Male
1495,Lindsey Obrien,15,9,Female
1496,Morgan Espinoza,17,12,Female
1497,Alan Key,16,10,Male
1498,Dr. Jessica Lynch PhD,18,12,Female
1499,Mark Goodman,17,11,Male
1500,Michael Santiago,17,12,Male
1501,Danielle Harris,18,12,Female
1502,Cristian Edwards,17,11,Male
1503,Robert Long,17,11,Male
1504,Vincent Snyder,15,9,Male
1505,Amanda Ware,16,10,Female
1506,Pamela Martin,16,11,Female
1507,Debra Morgan,15,9,Female
1508,Vincent Jones,15,10,Male
1509,David Williams,17,12,Male
1510,Amber Johnson,16,10,Female
1511,Tracy Ali,15,9,Female
1512,Shannon James,16,11,Female
1513,Sarah Thomas,16,11,Female
1514,Patricia Walker,16,11,Female
1515,Angela Vargas,18,12,Female
1516,Ashley Franklin,15,10,Female
1517,Brittany Martinez,15,10,Female
1518,James Davis,17,12,Male
1519,Jacob Walker,15,9,Male
